SARA_ID,WSCSSDA_ID
SARA_716,05CA
SARA_717,05DA
SARA_718,05DC
SARA_719,05BJ
SARA_720,05BJ
SARA_721,05BL
SARA_722,05BG
SARA_723,05DC
SARA_724,05DD
SARA_725,05AA
SARA_725,05AB
SARA_726,05DA
SARA_727,05DD
SARA_728,05AD
SARA_729,05AA
SARA_730,05BL
SARA_731,05DA
SARA_732,05DD
SARA_733,05DB
SARA_734,05BJ
SARA_735,05BJ
SARA_736,05DD
SARA_737,05BA
SARA_738,05BA
SARA_739,05CA
SARA_740,05BC
SARA_741,05BL
SARA_742,05DA
SARA_743,05BF
SARA_744,05BF
SARA_745,05BL
SARA_746,05DD
SARA_747,05DD
SARA_748,05BC
SARA_749,05DD
SARA_750,05DC
SARA_751,05BJ
SARA_752,05DD
SARA_753,05DD
SARA_754,05DD
SARA_755,05DD
SARA_756,05AD
SARA_757,05BG
SARA_758,05CA
SARA_759,05BD
SARA_760,05BL
SARA_761,05DD
SARA_762,05BG
SARA_763,05BG
SARA_764,05AA
SARA_765,05BJ
SARA_766,05AA
SARA_767,05DC
SARA_768,05DA
SARA_769,05DA
SARA_770,05DA
SARA_771,05DA
SARA_771,05DC
SARA_771,05DE
SARA_772,05AA
SARA_773,05AA
SARA_774,05BA
SARA_775,05CA
SARA_776,05AA
SARA_777,05DD
SARA_778,05BL
SARA_779,05BL
SARA_780,05AA
SARA_781,05AA
SARA_782,05AA
SARA_783,05DC
SARA_784,05DD
SARA_785,05BF
SARA_786,05DC
SARA_787,05DA
SARA_788,05CB
SARA_789,05DD
SARA_790,05AA
SARA_790,05BL
SARA_791,05CA
SARA_792,05CA
SARA_793,05BA
SARA_794,05CA
SARA_795,05AA
SARA_795,05BL
SARA_796,05BL
SARA_797,05DB
SARA_798,05DB
SARA_799,05DB
SARA_800,05DC
SARA_801,05BL
SARA_802,05BL
SARA_803,05BB
SARA_804,05AA
SARA_805,05DB
SARA_806,05CA
SARA_807,05DC
SARA_808,05DA
SARA_809,05BJ
SARA_810,05BA
SARA_811,05BJ
SARA_812,05BL
SARA_813,05BF
SARA_814,05BF
SARA_815,05AA
SARA_816,05DA
SARA_817,05DA
SARA_818,05BJ
SARA_819,05BJ
SARA_820,05DB
SARA_821,05DB
SARA_822,05CA
SARA_823,05CA
SARA_824,05BJ
SARA_824,05BL
SARA_825,05CB
SARA_826,05DD
SARA_827,05AA
SARA_828,05AD
SARA_829,05DB
SARA_830,05BL
SARA_831,05BJ
SARA_832,05AA
SARA_833,05DC
SARA_834,05BB
SARA_835,05BJ
SARA_836,05DC
SARA_837,05DC
SARA_837,05DD
SARA_838,05BF
SARA_839,05BF
SARA_840,05CA
SARA_841,05CA
SARA_842,05CA
SARA_843,05CA
SARA_843,05CB
SARA_844,05AD
SARA_845,05DD
SARA_846,05AA
SARA_847,05DD
SARA_848,05BF
SARA_849,05DB
SARA_850,05BL
