,FederalSit,Property_N,Site_Name_,CurrentSit,ClassType,ClassEN,Location_E,DOB_Identi,DOB_Name_E,Involvemen,Involvem_1,PropertyTy,Property_1,Contaminan,Contamin_1,Contaminat,Management,Additional,Action_EN,NonFedOwne,NonFedOw_1,EstCubicMe,EstHectare,EstTonsCon,Population,Populati_1,Populati_2,Populati_3,Populati_4,Province_C,Province_N,Census_Sub,Census_S_1,Federal_El,Federal__1,Country_Co,Country_Na,Latitude,Longitude,Created,Modified,FCSILink_E,mi_prinx,PRV_WSHD_I,NHN_TWS_ID
13467,20719,84374,Louise Narrows Port Hand - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,196,4234,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,52.95083,-131.90056,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020719-eng.aspx,14178,BC_138,08OB
13468,20720,84375,Louise Narrows Starboard - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,196,4234,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,52.94528,-131.90139,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020720-eng.aspx,14179,NA,08OB
13469,20721,84404,McLellan Point - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,3310,4228,59,British Columbia,27,North Coast D,28,Skeena--Bulkley Valley,CA,Canada,53.15222,-132.28611,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020721-eng.aspx,14180,BC_138,08OB
13470,20722,84419,Nancut - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,87,87,568,3137,59,British Columbia,15,Bulkley-Nechako C,28,Skeena--Bulkley Valley,CA,Canada,54.62611,-125.03944,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020722-eng.aspx,14181,BC_193,08JE
13471,20723,36486,North Arm Entrance - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,0,87,554,4121,59,British Columbia,15,Bulkley-Nechako C,28,Skeena--Bulkley Valley,CA,Canada,54.6442,-124.97,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020723-eng.aspx,14182,BC_193,08JE
13472,20724,17906,Ten Mile Point,C,NA,NA,Unassessed,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,Other,NA,NA,0,NA,0,0,0,0,7,47,22958,103333,59,British Columbia,47,Alberni-Clayoquot A,9,Courtenay--Alberni,CA,Canada,49.05944,-124.83944,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020724-eng.aspx,14183,BC_2,08HB
13473,20725,84571,Sandspit Airport Receiver - Sandspit Receiver Site,C,NA,NA,0.6 m east of building,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic",Soil,Marine Facilities/Aquatic Sites,Additional assessment,NA,NA,0,NA,6,0,0,0,7,31,3647,4236,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,53.25,-131.81806,12/6/2006,12/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020725-eng.aspx,14184,BC_138,08OB
13474,20726,84007,Alexander Island,C,NA,NA,Unassessed,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,Other,NA,NA,0,NA,0,0,0,0,0,0,0,0,59,British Columbia,20,Kitimat-Stikine C (Part 2),28,Skeena--Bulkley Valley,CA,Canada,52.955,-129.30667,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020726-eng.aspx,14185,BC_77,08FG
13475,20727,0,Rattlesnake Island,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,3,Federal activities,N,Non-Federal,NA,NA,NA,NA,Unassessed,NA,1,Provincial Government,0,0,0,3,5321,9888,161327,304137,59,British Columbia,49,Okanagan-Similkameen E,29,South Okanagan--West Kootenay,CA,Canada,49.748611,-119.71755,10/6/2008,10/6/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020727-eng.aspx,14186,BC_161,08NM
13476,20728,84034,Barry Inlet,A,2,Medium Priority for Action,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PHCs (petroleum hydrocarbons)",Soil,Marine Facilities/Aquatic Sites,Risk Management,NA,NA,0,NA,200,0,0,0,7,31,196,752,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,52.575,-131.75361,12/15/2006,12/15/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020728-eng.aspx,14187,BC_138,08OB
13477,20729,84061,Bowen Island,A,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,Marine Facilities/Aquatic Sites,Additional assessment,NA,NA,0,NA,0,0,0,204,2751,18391,736641,2531797,59,British Columbia,62,Bowen Island,42,West Vancouver--Sunshine Coast--Sea to Sky Country,CA,Canada,49.34597,-123.38736,12/15/2006,12/15/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020729-eng.aspx,14188,BC_73,08GB
13478,20730,84117,Comox Transmitter - Waveland Road,C,2,Medium Priority for Action,Comox Transmitter - Waveland Road,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic",Soil,Marine Facilities/Aquatic Sites,Additional assessment,NA,NA,0,NA,0,0,0,494,15511,78564,177934,312340,59,British Columbia,22,Comox Valley B (Lazo North),37,North Island--Powell River,CA,Canada,49.75,-124.94417,12/15/2006,12/15/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020730-eng.aspx,14189,BC_34,08HB
13479,20732,84189,Eliza Dome - Leaking Around the Fuel Storage,A,3,Low Priority for Action,The contaminated area is an estimated 12 square me,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PHCs (petroleum hydrocarbons)",Soil,Fuel Related Practices,Risk Management,NA,NA,0,NA,13.5,0,0,0,0,0,313,997,59,British Columbia,48,Strathcona A,37,North Island--Powell River,CA,Canada,49.873333,-127.120277,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020732-eng.aspx,14191,BC_199,08HE
