Site_ID,Latitude,Longitude,WSCSSDA,PRPWSHID,WQI,WQI_category
3065,49.176667,-96.763889,05OD,NA,NA,NA
3066,49.17675,-122.4242,08MH,BC_103,NA,NA
3067,49.1768,-121.8515,08MG,BC_28,NA,NA
3068,49.17687,-122.7632,08MH,BC_103,66.51214017275674,Fair
3069,49.1769,-121.8517,08MG,BC_28,NA,NA
3070,49.1769,-119.544,08NM,BC_161,NA,NA
3071,49.1771,-121.8519,08MG,BC_28,NA,NA
3072,49.17723,-117.7147,08NE,BC_96,NA,NA
3073,49.1774,-117.2755,08NE,BC_96,55.17937246660456,Marginal
3074,49.17758,-100.32225,05NG,NA,NA,NA
3075,49.17761,-122.1603,08MG,BC_63,NA,NA
3076,49.17761,-100.02306,05OA,NA,NA,NA
3077,49.1777,-117.2731,08NE,BC_96,NA,NA
3078,49.17773,-98.39963,05OB,NA,NA,NA
3079,49.17776,-117.7171,08NE,BC_96,100,Excellent
3080,49.1778,-122.9214,08MH,BC_103,NA,NA
3081,49.1778,-121.87,08MG,BC_28,NA,NA
3082,49.17785,-122.2374,08MH,BC_103,NA,NA
3083,49.1781,-124.7617,08HB,BC_2,NA,NA
3084,49.1781,-121.8934,08MG,BC_28,NA,NA
3085,49.17835,-116.5794,08NH,BC_90,NA,NA
3086,49.1785,-122.2844,08MH,BC_103,NA,NA
3087,49.1785,-117.2811,08NE,BC_96,NA,NA
3088,49.17853,-118.2993,08NN,BC_78,NA,NA
3089,49.1789,-123.1469,08MH,BC_103,NA,NA
3090,49.17917,-124.0358,08HB,BC_165,NA,NA
3091,49.1793,-115.1683,08NK,BC_46,NA,NA
3092,49.1794,-119.585,08NM,BC_161,NA,NA
3093,49.17944,-123.8569,08HA,BC_36,NA,NA
3094,49.17968,-115.1669,08NK,BC_46,NA,NA
3095,49.1797,-115.167,08NK,BC_46,57.112062909206664,Marginal
3096,49.18001,-122.4305,08MH,BC_103,NA,NA
3097,49.18013,-122.5454,08MH,BC_103,NA,NA
3098,49.18036,-98.61261,05OB,NA,NA,NA
3099,49.18047,-122.3561,08MH,BC_103,NA,NA
3100,49.18054,-122.5004,08MH,BC_103,NA,NA
3101,49.18055,-122.5459,08MH,BC_103,NA,NA
