,comments,useanalysi,cabd_id,fallnameen,municipali,completele,passabilit,waterbodyn,waterbody1,completel1,lastmodifi,passabili1,fallheight,datasource,featuretyp,provincete,provincet1,fallnamefr,PRPWSHID,NHN4DWSH,Longitude,Latitude
9431,NA,1,fe8d2fdd-6fa6-428e-bf73-0f6642911c98,Harmony Falls,Sunshine Coast A,2,Unknown,NA,NA,Minimal,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/fe8d2fdd-6fa6-428e-bf73-0f6642911c98,waterfalls,bc,British Columbia,Harmony Falls,BC_73,08GB,-123.997786,49.85663576
9432,NA,1,5a2b3d82-5ca2-4452-83d3-d5f60767c8e6,NA,Kitimat-Stikine A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5a2b3d82-5ca2-4452-83d3-d5f60767c8e6,waterfalls,bc,British Columbia,NA,BC_92,08DBA,-129.8316828,55.40692244
9433,NA,1,5ac8c603-a7be-4772-83f5-2fbf3016e0e5,NA,Central Coast A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5ac8c603-a7be-4772-83f5-2fbf3016e0e5,waterfalls,bc,British Columbia,NA,NA,08FAB,-127.6188424,51.26996331
9434,NA,1,5affdf51-56ba-4406-9e2a-1aef8051442f,NA,Columbia-Shuswap B,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5affdf51-56ba-4406-9e2a-1aef8051442f,waterfalls,bc,British Columbia,NA,BC_172,08ND,-118.2384748,51.26329772
9435,NA,1,5b62581d-a8c7-4b1f-b119-9114e299b62b,NA,Kitimat-Stikine A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5b62581d-a8c7-4b1f-b119-9114e299b62b,waterfalls,bc,British Columbia,NA,NA,08DBA,-129.7399212,55.31120847
9436,NA,1,5bb86546-352d-4ecb-ac58-bef2e58d3cc7,NA,Kitimat-Stikine A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5bb86546-352d-4ecb-ac58-bef2e58d3cc7,waterfalls,bc,British Columbia,NA,BC_233,08DD,-130.4490344,56.34124705
9437,NA,1,5beaaa2f-9bcb-42dd-9435-8a4cc6ad6fec,NA,Columbia-Shuswap B,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5beaaa2f-9bcb-42dd-9435-8a4cc6ad6fec,waterfalls,bc,British Columbia,NA,BC_172,08ND,-118.207831,51.13469019
9438,NA,1,5c61f63d-65c5-4f74-b238-28f2125613fb,NA,Strathcona C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5c61f63d-65c5-4f74-b238-28f2125613fb,waterfalls,bc,British Columbia,NA,NA,08HD,-125.730005,50.40870707
9439,NA,1,5ce95f82-48d5-4ff7-aa1c-66165354b0c5,NA,Kitimat-Stikine A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5ce95f82-48d5-4ff7-aa1c-66165354b0c5,waterfalls,bc,British Columbia,NA,BC_92,08DBA,-129.8364446,55.38550376
9440,NA,1,5cf584f0-70ab-4649-8a38-03e6e54c8b28,NA,Sunshine Coast A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5cf584f0-70ab-4649-8a38-03e6e54c8b28,waterfalls,bc,British Columbia,NA,NA,08GB,-123.9302263,49.89438254
