FEOW_ID,PRV_WSHD_I,NHN_TWS_ID
103,BC_195,NA
102,BC_196,NA
103,BC_197,NA
103,BC_198,NA
103,BC_199,NA
103,BC_2,NA
103,BC_20,NA
103,BC_200,NA
103,BC_201,NA
103,BC_202,NA
103,BC_203,NA
102,BC_204,NA
103,BC_205,NA
105,BC_206,NA
103,BC_207,NA
104,BC_208,NA
103,BC_209,NA
120,BC_21,NA
105,BC_210,NA
103,BC_211,NA
105,BC_212,NA
102,BC_213,NA
103,BC_214,NA
103,BC_215,NA
120,BC_216,NA
103,BC_217,NA
104,BC_218,NA
103,BC_219,NA
104,BC_22,NA
103,BC_220,NA
103,BC_221,NA
103,BC_222,NA
105,BC_223,NA
104,BC_224,NA
103,BC_225,NA
102,BC_226,NA
105,BC_227,NA
105,BC_228,NA
105,BC_229,NA
103,BC_23,NA
103,BC_230,NA
103,BC_231,NA
103,BC_232,NA
103,BC_233,NA
104,BC_234,NA
104,BC_235,NA
105,BC_236,NA
105,BC_237,NA
103,BC_238,NA
105,BC_239,NA
103,BC_24,NA
103,BC_240,NA
103,BC_241,NA
103,BC_242,NA
103,BC_243,NA
103,BC_244,NA
103,BC_245,NA
103,BC_246,NA
103,BC_25,NA
103,BC_26,NA
103,BC_27,NA
103,BC_28,NA
103,BC_29,NA
102,BC_3,NA
120,BC_30,NA
103,BC_31,NA
105,BC_32,NA
120,BC_33,NA
103,BC_34,NA
103,BC_35,NA
103,BC_36,NA
104,BC_37,NA
105,BC_38,NA
103,BC_39,NA
103,BC_4,NA
105,BC_40,NA
105,BC_41,NA
103,BC_42,NA
103,BC_43,NA
120,BC_44,NA
105,BC_45,NA
120,BC_46,NA
103,BC_47,NA
103,BC_48,NA
104,BC_49,NA
103,BC_5,NA
104,BC_50,NA
104,BC_51,NA
105,BC_52,NA
104,BC_53,NA
103,BC_54,NA
103,BC_55,NA
105,BC_56,NA
105,BC_57,NA
102,BC_58,NA
103,BC_59,NA
103,BC_6,NA
103,BC_60,NA
103,BC_61,NA
103,BC_62,NA
103,BC_63,NA
104,BC_64,NA
103,BC_65,NA
103,BC_66,NA
103,BC_67,NA
103,BC_68,NA
104,BC_69,NA
103,BC_7,NA
103,BC_70,NA
103,BC_71,NA
102,BC_72,NA
103,BC_73,NA
105,BC_74,NA
103,BC_75,NA
104,BC_76,NA
103,BC_77,NA
120,BC_78,NA
120,BC_79,NA
103,BC_8,NA
103,BC_80,NA
103,BC_81,NA
104,BC_82,NA
103,BC_83,NA
103,BC_84,NA
103,BC_85,NA
103,BC_86,NA
103,BC_87,NA
103,BC_88,NA
103,BC_89,NA
105,BC_9,NA
120,BC_90,NA
120,BC_91,NA
103,BC_92,NA
103,BC_93,NA
103,BC_94,NA
102,BC_95,NA
120,BC_96,NA
103,BC_97,NA
104,BC_98,NA
103,BC_99,NA
116,ON-023F-01,NA
116,ON-023F-02,NA
116,ON-023F-03,NA
116,ON-023F-04,NA
116,ON-029A-01,NA
116,ON-029B-01,NA
