NPRI_Site_ID,Substance_Name,release_type,Reporting_Year
11,Phenol (and its salts),Releases to Air,2021
11,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2021
11,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2021
11,Total particulate matter,Releases to Air,2021
11,Volatile Organic Compounds (VOCs),Releases to Air,2021
13,Ammonia (total),Sum of release to all media (<1tonne),2006
13,Bisphenol A,Sum of release to all media (<1tonne),2004
13,Formaldehyde,Sum of release to all media (<1tonne),2006
13,Methanol,Releases to Air,1997
13,Methanol,Sum of release to all media (<1tonne),2006
13,Phenol (and its salts),Sum of release to all media (<1tonne),2006
15,"1,2,4-Trimethylbenzene",Releases to Air,2021
15,2-Butoxyethanol,Releases to Air,2021
15,Cobalt (and its compounds),Releases to Air,2021
15,Copper (and its compounds),Sum of release to all media (<1tonne),2021
15,Cumene,Releases to Air,2021
15,Ethylbenzene,Releases to Air,2021
15,Ethylbenzene,Sum of release to all media (<1tonne),2016
15,i-Butyl alcohol,Releases to Air,2007
15,Isopropyl alcohol,Releases to Air,2012
15,Isopropyl alcohol,Sum of release to all media (<1tonne),2020
15,Lead (and its compounds),Releases to Air,2021
15,Methanol,Releases to Air,2012
15,Methanol,Sum of release to all media (<1tonne),2021
15,Methyl ethyl ketone,Releases to Air,2021
15,Methyl ethyl ketone,Sum of release to all media (<1tonne),1995
15,Methyl isobutyl ketone,Releases to Air,2015
15,Methyl isobutyl ketone,Sum of release to all media (<1tonne),2021
15,n-Butyl alcohol,Releases to Air,2021
15,n-Butyl alcohol,Sum of release to all media (<1tonne),2014
15,Naphthalene,Releases to Air,2021
15,Naphthalene,Sum of release to all media (<1tonne),2018
15,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2021
15,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2015
15,Toluene,Releases to Air,2014
15,Toluene,Sum of release to all media (<1tonne),2021
15,Volatile Organic Compounds (VOCs),Releases to Air,2021
15,Xylene (all isomers),Releases to Air,2021
15,Xylene (mixed isomers),Releases to Air,1999
15,Xylene (mixed isomers),Sum of release to all media (<1tonne),1995
18,Hydrochloric acid,Releases to Air,2011
18,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2012
18,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2012
18,Total particulate matter,Releases to Air,2011
18,Zinc (and its compounds),Sum of release to all media (<1tonne),2012
21,Hydrochloric acid,Releases to Air,2021
21,Hydrochloric acid,Sum of release to all media (<1tonne),2012
21,Lead (and its compounds),Releases to Air,2002
21,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2021
21,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2002
21,Zinc (and its compounds),Releases to Air,2021
21,Zinc (and its compounds),Sum of release to all media (<1tonne),2020
22,Carbon monoxide,Releases to Air,2004
22,Phosphoric acid,Releases to Air,2000
22,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2009
22,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2009
22,Sulphur dioxide,Releases to Air,2004
22,Sulphuric acid,Releases to Air,2002
22,Total particulate matter,Releases to Air,2003
22,Volatile Organic Compounds (VOCs),Releases to Air,2003
25,Aluminum (fume or dust only),Releases to Air,1995
25,Isopropyl alcohol,Releases to Air,1996
25,Lead (and its compounds),Releases to Air,1995
25,Methanol,Releases to Air,1996
25,Methyl ethyl ketone,Releases to Air,1996
25,Methyl isobutyl ketone,Releases to Air,1997
25,n-Butyl alcohol,Releases to Air,1996
25,Toluene,Releases to Air,1997
25,Xylene (mixed isomers),Releases to Air,1997
28,Bis(2-ethylhexyl) adipate,Releases to Air,2009
28,Bis(2-ethylhexyl) adipate,Sum of release to all media (<1tonne),2021
28,Bis(2-ethylhexyl) phthalate,Releases to Air,2009
28,Bis(2-ethylhexyl) phthalate,Sum of release to all media (<1tonne),2013
28,Carbon monoxide,Releases to Air,2016
28,Di-n-octyl phthalate,Releases to Air,2009
28,Di-n-octyl phthalate,Sum of release to all media (<1tonne),2015
28,Methylenebis(phenylisocyanate),Releases to Air,2006
28,Methylenebis(phenylisocyanate),Sum of release to all media (<1tonne),2010
28,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2016
28,Phthalic anhydride,Releases to Air,2009
28,Phthalic anhydride,Sum of release to all media (<1tonne),2013
28,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2021
28,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2021
28,Polymeric diphenylmethane diisocyanate,Releases to Air,2006
28,Polymeric diphenylmethane diisocyanate,Sum of release to all media (<1tonne),2010
28,Sulphur dioxide,Releases to Air,2016
28,Total particulate matter,Releases to Air,2016
28,Volatile Organic Compounds (VOCs),Releases to Air,2021
31,"1,2,4-Trimethylbenzene",Releases to Air,2021
31,"1,2,4-Trimethylbenzene",Sum of release to all media (<1tonne),2001
31,2-Butoxyethanol,Releases to Air,2021
31,Butyl benzyl phthalate,Releases to Air,2017
31,Carbon monoxide,Releases to Air,2021
31,Cumene,Releases to Air,2014
31,Ethylbenzene,Releases to Air,2021
31,Ethylbenzene,Sum of release to all media (<1tonne),2001
31,Formaldehyde,Releases to Air,2014
31,HCFC-22,Releases to Air,2021
31,HCFC-22,Sum of release to all media (<1tonne),2019
31,i-Butyl alcohol,Releases to Air,2021
31,i-Butyl alcohol,Sum of release to all media (<1tonne),2001
31,Isopropyl alcohol,Releases to Air,2021
31,Isopropyl alcohol,Sum of release to all media (<1tonne),2001
31,Methanol,Releases to Air,2014
31,Methanol,Sum of release to all media (<1tonne),2001
31,Methyl ethyl ketone,Releases to Air,2021
31,Methyl isobutyl ketone,Releases to Air,2021
31,n-Butyl alcohol,Releases to Air,2021
31,N-Methyl-2-pyrrolidone,Releases to Air,2021
31,N-Methyl-2-pyrrolidone,Sum of release to all media (<1tonne),2001
31,Naphthalene,Releases to Air,2014
31,Naphthalene,Sum of release to all media (<1tonne),2001
31,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2019
31,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2010
31,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2010
31,sec-Butyl alcohol,Releases to Air,2006
31,sec-Butyl alcohol,Sum of release to all media (<1tonne),2001
31,Sulphur dioxide,Releases to Air,2010
31,Toluene,Releases to Air,2021
31,Toluene,Sum of release to all media (<1tonne),2001
31,Total particulate matter,Releases to Air,2010
31,Triethylamine,Releases to Air,2007
31,Volatile Organic Compounds (VOCs),Releases to Air,2021
31,Xylene (all isomers),Releases to Air,2021
31,Xylene (mixed isomers),Releases to Air,1999
31,Zinc (and its compounds),Releases to Air,2021
34,2-Butoxyethanol,Releases to Air,2003
34,Carbon monoxide,Releases to Air,2021
34,Ethylene glycol,Releases to Air,2021
34,Formic acid,Releases to Air,2021
34,HCFC-141b,Releases to Air,2009
34,HCFC-142b,Releases to Air,2009
34,HCFC-142b,Sum of release to all media (<1tonne),2001
34,HCFC-22,Releases to Air,2019
34,HCFC-22,Sum of release to all media (<1tonne),2017
34,Isopropyl alcohol,Releases to Air,2014
34,Methanol,Releases to Air,2003
34,Methyl ethyl ketone,Releases to Air,2003
34,Methyl isobutyl ketone,Releases to Air,2003
34,Methylenebis(phenylisocyanate),Releases to Air,2010
34,Methylenebis(phenylisocyanate),Sum of release to all media (<1tonne),2007
34,n-Butyl alcohol,Releases to Air,2003
34,N-Methyl-2-pyrrolidone,Releases to Air,2003
34,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2021
34,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2011
34,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2011
34,Polymeric diphenylmethane diisocyanate,Releases to Air,2006
34,Polymeric diphenylmethane diisocyanate,Sum of release to all media (<1tonne),2010
34,Sulphur dioxide,Releases to Air,2010
34,Toluene,Releases to Air,2003
34,Total particulate matter,Releases to Air,2011
34,Volatile Organic Compounds (VOCs),Releases to Air,2010
34,Xylene (all isomers),Releases to Air,2011
34,Xylene (all isomers),Sum of release to all media (<1tonne),2010
34,Xylene (mixed isomers),Releases to Air,1999
37,"1,3-Butadiene",Releases to Air,1995
37,Ammonia (total),Releases to Air,1995
37,Styrene,Releases to Air,1995
40,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2021
40,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2021
43,Carbon monoxide,Releases to Air,2007
43,Cobalt (and its compounds),Releases to Air,2007
43,Copper (and its compounds),Releases to Air,2007
43,Copper (and its compounds),Sum of release to all media (<1tonne),2001
43,Manganese (and its compounds),Releases to Air,2007
43,Manganese (and its compounds),Sum of release to all media (<1tonne),2001
43,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2007
43,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2006
43,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2006
43,Selenium (and its compounds),Releases to Air,2007
43,Sulphur dioxide,Releases to Air,2007
43,Total particulate matter,Releases to Air,2006
43,Volatile Organic Compounds (VOCs),Releases to Air,2007
43,Zinc (and its compounds),Releases to Air,2007
43,Zinc (and its compounds),Sum of release to all media (<1tonne),2001
49,Methyl ethyl ketone,Releases to Air,2011
49,Volatile Organic Compounds (VOCs),Releases to Air,2011
52,"1,2,4-Trimethylbenzene",Releases to Air,2005
52,Ethylbenzene,Releases to Air,2006
52,Ethylbenzene,Sum of release to all media (<1tonne),2008
52,Ethylene glycol,Releases to Air,2008
52,Methyl ethyl ketone,Releases to Air,2008
52,N-Methyl-2-pyrrolidone,Releases to Air,2005
52,Toluene,Releases to Air,2009
52,Volatile Organic Compounds (VOCs),Releases to Air,2009
52,Xylene (all isomers),Releases to Air,2009
52,Xylene (mixed isomers),Releases to Air,1999
54,Aluminum (fume or dust only),Releases to Water Bodies,2013
54,Ammonia (total),Releases to Air,2011
54,Ammonia (total),Releases to Water Bodies,2013
54,Antimony (and its compounds),Releases to Air,2011
54,Antimony (and its compounds),Releases to Water Bodies,2013
54,Arsenic (and its compounds),Releases to Air,2012
54,Arsenic (and its compounds),Releases to Water Bodies,2017
54,Cadmium (and its compounds),Releases to Air,2012
54,Cadmium (and its compounds),Releases to Water Bodies,2017
54,Carbon monoxide,Releases to Air,2013
54,Chromium (and its compounds),Releases to Air,2011
54,Chromium (and its compounds),Releases to Water Bodies,2013
54,Chromium (and its compounds),Sum of release to all media (<1tonne),2010
54,Cobalt (and its compounds),Releases to Air,2011
54,Cobalt (and its compounds),Releases to Water Bodies,2017
54,Cobalt (and its compounds),Sum of release to all media (<1tonne),2015
54,Copper (and its compounds),Releases to Air,2013
54,Copper (and its compounds),Releases to Land,2013
54,Copper (and its compounds),Releases to Water Bodies,2013
54,Copper (and its compounds),Sum of release to all media (<1tonne),2017
54,Formaldehyde,Sum of release to all media (<1tonne),2011
54,Hexavalent chromium (and its compounds),Releases to Air,2011
54,Lead (and its compounds),Releases to Air,2013
54,Lead (and its compounds),Releases to Water Bodies,2017
54,Manganese (and its compounds),Releases to Air,2011
54,Manganese (and its compounds),Releases to Water Bodies,2017
54,Mercury (and its compounds),Releases to Air,2011
54,Mercury (and its compounds),Releases to Water Bodies,2013
54,Naphthalene,Sum of release to all media (<1tonne),2011
54,Nickel (and its compounds),Releases to Air,2011
54,Nickel (and its compounds),Releases to Water Bodies,2013
54,Nickel (and its compounds),Sum of release to all media (<1tonne),2010
54,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2013
54,Phosphorus (total),Sum of release to all media (<1tonne),2011
54,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2017
54,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2017
54,Selenium (and its compounds),Releases to Air,2011
54,Selenium (and its compounds),Releases to Water Bodies,2013
54,Selenium (and its compounds),Sum of release to all media (<1tonne),2010
54,Silver (and its compounds),Releases to Water Bodies,2013
54,Sulphur dioxide,Releases to Air,2013
54,Thallium (and its compounds),Releases to Water Bodies,2017
54,Total particulate matter,Releases to Air,2017
54,Vanadium (except when in an alloy) and its compounds,Releases to Air,2009
54,Vanadium (except when in an alloy) and its compounds,Releases to Water Bodies,2013
54,Vanadium (except when in an alloy) and its compounds,Sum of release to all media (<1tonne),2011
54,Volatile Organic Compounds (VOCs),Releases to Air,2012
54,Zinc (and its compounds),Releases to Air,2013
54,Zinc (and its compounds),Releases to Water Bodies,2017
54,Zinc (and its compounds),Sum of release to all media (<1tonne),2016
57,Chromium (and its compounds),Releases to Air,2011
57,Chromium (and its compounds),Sum of release to all media (<1tonne),2021
57,Copper (and its compounds),Releases to Air,2002
57,Copper (and its compounds),Sum of release to all media (<1tonne),2004
57,Manganese (and its compounds),Releases to Air,2011
57,Manganese (and its compounds),Sum of release to all media (<1tonne),2021
57,Nickel (and its compounds),Releases to Air,2011
57,Nickel (and its compounds),Sum of release to all media (<1tonne),2021
57,Volatile Organic Compounds (VOCs),Releases to Air,2010
57,Xylene (all isomers),Releases to Air,2005
64,Ammonia (total),Sum of release to all media (<1tonne),1997
64,Methanol,Releases to Air,2010
64,Methanol,Sum of release to all media (<1tonne),2018
64,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2011
65,Carbon monoxide,Releases to Air,2009
65,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2009
65,Sulphur dioxide,Releases to Air,2009
65,Volatile Organic Compounds (VOCs),Releases to Air,2009
70,Copper (and its compounds),Sum of release to all media (<1tonne),1994
70,Hexavalent chromium (and its compounds),Releases to Air,2021
70,Hydrochloric acid,Releases to Air,2021
70,Hydrochloric acid,Sum of release to all media (<1tonne),2016
70,Nickel (and its compounds),Releases to Air,2021
70,Nickel (and its compounds),Releases to Land,2001
70,Nickel (and its compounds),Sum of release to all media (<1tonne),2016
70,Sulphuric acid,Releases to Air,2021
70,Sulphuric acid,Sum of release to all media (<1tonne),2013
70,Volatile Organic Compounds (VOCs),Releases to Air,2021
70,Zinc (and its compounds),Releases to Air,2002
70,Zinc (and its compounds),Sum of release to all media (<1tonne),2001
78,"1,2,4-Trimethylbenzene",Sum of release to all media (<1tonne),2001
78,Diethanolamine (and its salts),Sum of release to all media (<1tonne),1998
78,Ethylene glycol,Sum of release to all media (<1tonne),2001
78,Hydroquinone (and its salts),Sum of release to all media (<1tonne),1994
78,Isopropyl alcohol,Sum of release to all media (<1tonne),1998
78,n-Butyl alcohol,Sum of release to all media (<1tonne),1997
78,Naphthalene,Releases to Air,2004
78,Naphthalene,Sum of release to all media (<1tonne),2001
78,Nonylphenol polyethylene glycol ether,Sum of release to all media (<1tonne),2001
78,Phosphoric acid,Sum of release to all media (<1tonne),2000
78,Sodium nitrite,Sum of release to all media (<1tonne),2000
78,Zinc (and its compounds),Sum of release to all media (<1tonne),1996
79,"1,2,4-Trimethylbenzene",Releases to Air,2021
79,"1,2,4-Trimethylbenzene",Sum of release to all media (<1tonne),2019
79,Ammonia (total),Sum of release to all media (<1tonne),2010
79,Ethylbenzene,Releases to Air,2020
79,Ethylbenzene,Sum of release to all media (<1tonne),2019
79,Ethylene glycol,Releases to Air,2021
79,Ethylene glycol,Sum of release to all media (<1tonne),2019
79,Hydroquinone (and its salts),Sum of release to all media (<1tonne),1997
79,Naphthalene,Releases to Air,2021
79,Naphthalene,Sum of release to all media (<1tonne),2019
79,Nitrate ion in solution at pH >= 6.0,Releases to Air,2010
79,Nitrate ion in solution at pH >= 6.0,Sum of release to all media (<1tonne),2013
79,Nonylphenol and its ethoxylates,Sum of release to all media (<1tonne),2007
79,Nonylphenol polyethylene glycol ether,Sum of release to all media (<1tonne),2000
79,Phosphoric acid,Sum of release to all media (<1tonne),2000
79,Phosphorus (total),Sum of release to all media (<1tonne),2017
79,Sodium nitrite,Releases to Air,2021
79,Sodium nitrite,Sum of release to all media (<1tonne),2019
79,Sulphuric acid,Sum of release to all media (<1tonne),1998
79,Zinc (and its compounds),Sum of release to all media (<1tonne),2017
90,Lead (and its compounds),Releases to Air,2007
90,Lead (and its compounds),Sum of release to all media (<1tonne),2000
90,Volatile Organic Compounds (VOCs),Releases to Air,2006
90,Zinc (and its compounds),Sum of release to all media (<1tonne),2006
92,"1,2,4-Trimethylbenzene",Releases to Air,2005
92,"1,2,4-Trimethylbenzene",Sum of release to all media (<1tonne),2016
92,2-Butoxyethanol,Releases to Air,2010
92,2-Butoxyethanol,Sum of release to all media (<1tonne),2014
92,2-Ethoxyethanol,Releases to Air,1999
92,Ethylbenzene,Releases to Air,2010
92,Ethylbenzene,Sum of release to all media (<1tonne),2016
92,Ethylene glycol,Releases to Air,2012
92,Ethylene glycol,Sum of release to all media (<1tonne),2012
92,Formaldehyde,Releases to Air,2010
92,Formaldehyde,Sum of release to all media (<1tonne),2011
92,Hydrochloric acid,Releases to Air,2012
92,Hydrochloric acid,Sum of release to all media (<1tonne),2012
92,i-Butyl alcohol,Releases to Air,2012
92,i-Butyl alcohol,Sum of release to all media (<1tonne),2012
92,Isopropyl alcohol,Releases to Air,2005
92,Methyl ethyl ketone,Releases to Air,2008
92,n-Butyl alcohol,Releases to Air,2012
92,n-Butyl alcohol,Sum of release to all media (<1tonne),2014
92,N-Methyl-2-pyrrolidone,Releases to Air,2016
92,"n,n-Dimethylformamide",Releases to Air,2008
92,Naphthalene,Releases to Air,2010
92,Naphthalene,Sum of release to all media (<1tonne),2011
92,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2003
92,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2003
92,Sulphuric acid,Releases to Air,2009
92,Tetrachloroethylene,Releases to Air,1996
92,Toluene,Releases to Air,2005
92,Volatile Organic Compounds (VOCs),Releases to Air,2016
92,Xylene (all isomers),Releases to Air,2016
92,Xylene (mixed isomers),Releases to Air,1999
96,n-Butyl alcohol,Releases to Air,2004
96,Sulphuric acid,Releases to Land,2003
96,Sulphuric acid,Releases to Water Bodies,2004
96,Volatile Organic Compounds (VOCs),Releases to Air,2004
96,Xylene (all isomers),Releases to Air,2004
96,Xylene (mixed isomers),Releases to Air,1999
99,Acrylamide,Sum of release to all media (<1tonne),1999
99,Ammonia (total),Releases to Water Bodies,2021
99,Antimony (and its compounds),Releases to Air,2019
99,Antimony (and its compounds),Releases to Water Bodies,2019
99,Arsenic (and its compounds),Releases to Air,2021
99,Arsenic (and its compounds),Releases to Water Bodies,2021
99,Cadmium (and its compounds),Releases to Air,2021
99,Cadmium (and its compounds),Releases to Water Bodies,2021
