,OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,COM_GROU_E,COM_GROU_F,COM_DESC_E,COM_DESC_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
49,AltaSteel,AltaSteel,AltaSteel Inc.,AltaSteel Inc.,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Alberta,Alberta,53.492783,-113.387962,AB-11030101,05EB,-113.387962,53.492783
50,AIM Recycling Atlantic,AIM Recyclage Atlantic,American Iron & Metal Co. Inc.,La Compagnie Américaine de Fer et Métaux Inc.,N/A,N/A,N/A,N/A,N/A,N/A,New Brunswick,Nouveau Brunswick,45.261306,-66.064603,NA,01AP,-66.064603,45.261306
51,AIM Recycling Lévis,AIM Recyclage Lévis,American Iron & Metal Co. Inc.,La Compagnie Américaine de Fer et Métaux Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,Québec,46.74789,-71.177734,NA,02PH,-71.177734,46.74789
52,Contrecœur-Feruni,Contrecœur-Feruni,ArcelorMittal,ArcelorMittal,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,Québec,45.83316,-73.260949,NA,210,-73.260949,45.83316
53,AIM Recycling La Prairie,AIM Recyclage La Prairie,American Iron & Metal Co. Inc.,La Compagnie Américaine de Fer et Métaux Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,Québec,45.396324,-73.500867,NA,210,-73.500867,45.396324
54,AIM Recycling Montréal-Est,AIM Recyclage Montréal-Est,American Iron & Metal Co. Inc.,La Compagnie Américaine de Fer et Métaux Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,Québec,45.6309,-73.5522,NA,210,-73.5522,45.6309
55,A.S.I. - Ste Catherine,A.S.I. - Ste Catherine,Riva Group,Groupe Riva,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,Québec,45.397642,-73.60497,NA,210,-73.60497,45.397642
56,AIM Recycling Laval,AIM Recyclage Laval,American Iron & Metal Co. Inc.,La Compagnie Américaine de Fer et Métaux Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,Québec,45.66641,-73.644813,NA,210,-73.644813,45.66641
57,AIM Recycling Ottawa East,AIM Recyclage Ottawa Est,American Iron & Metal Co. Inc.,La Compagnie Américaine de Fer et Métaux Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,45.407485,-75.606364,ON-02LB-03,02LB,-75.606364,45.407485
58,Smiths Falls Operation,Exploitation Smiths Falls,Glenview Iron & Metal Ltd.,Glenview Iron & Metal Ltd.,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,44.912968,-76.063979,ON-02LA-04,02LA,-76.063979,44.912968
59,Kingston Operation,Exploitation Kingston,KIMCO Steel Sales Ltd.,KIMCO Steel Sales Ltd.,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,44.2615,-76.5121,ON-02MA-02,02MA,-76.5121,44.2615
60,Whitby Division,Division Whitby,Gerdau Corporation,Gerdau Corporation,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,43.851906,-78.910676,NA,209,-78.910676,43.851906
61,Brampton Division,Division Brampton,Triple M Metals Inc.,Triple M Metals Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,43.736239,-79.666841,NA,02HC,-79.666841,43.736239
