,OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,FAC_DESC_E,FAC_DESC_F,COMMODIT_E,COMMODIT_F,COM_DESC_E,COM_DESC_F,COM_GROU_E,COM_GROU_F,CITY_E,CITY_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
177,Black Fox,Black Fox,McEwen Mining Inc.,McEwen Mining Inc.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Matheson,Matheson,Ontario,Ontario,48.534362,-80.340814,ON-04MB-06,04MB,-80.340814,48.534362
178,Young-Davidson,Young-Davidson,Alamos Gold Inc.,Alamos Gold Inc.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Kirkland Lake area,région de Kirkland Lake,Ontario,Ontario,47.94667,-80.67444,ON-02JD-04,02JD,-80.67444,47.94667
179,Hoyle Pond,Hoyle Pond,Newmont Corporation,Newmont Corporation,(U.),(Sout.),Underground,Souterraine,Au,Au,Gold,Or,Precious metals,Métaux précieux,south of Porcupine,au sud de Porcupine,Ontario,Ontario,48.5519,-81.1083,ON-04MD-08,04MD,-81.1083,48.5519
180,Bell Creek,Bell Creek,Pan American Silver Corp.,Pan American Silver Corp.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.553,-81.178,ON-04MD-08,04MD,-81.178,48.553
181,Porcupine,Porcupine,Newmont Corporation,Newmont Corporation,(C.),(Con.),Concentrator,Concentrateur,Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.463511,-81.242719,ON-04MD-08,04MD,-81.242719,48.463511
182,Hollinger,Hollinger,Newmont Corporation,Newmont Corporation,(P.),(C.O.),Open-pit,Ciel ouvert,Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.4733,-81.31314,ON-04LA-01,04LA,-81.31314,48.4733
183,Timmins West,Timmins West,Pan American Silver Corp.,Pan American Silver Corp.,(U.),(Sout.),Underground,Souterraine,Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.383275,-81.549826,ON-04LA-06,04LA,-81.549826,48.383275
184,Borden,Borden,Newmont Corporation,Newmont Corporation,"(P., U.)","(C.O., Sout.)","Open-pit, underground","Ciel ouvert, souterraine",Au,Au,Gold,Or,Precious metals,Métaux précieux,Chapleau,Chapleau,Ontario,Ontario,47.871883,-83.260981,ON-04LE-04,04LE,-83.260981,47.871883
185,Island,Island,Alamos Gold Inc.,Alamos Gold Inc.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Dubreuilville,Dubreuilville,Ontario,Ontario,48.285667,-84.449604,ON-02BD-18,02BD,-84.449604,48.285667
186,Sugar Zone,Sugar Zone,Silver Lake Resources Ltd.,Silver Lake Resources Ltd.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,White River,White River,Ontario,Ontario,48.80496,-85.00401,ON-02BC-09,02BC,-85.00401,48.80496
187,Mishi,Mishi,Wesdome Gold Mines Ltd.,Mines d’or Wesdome Ltée,(P.),(C.O.),Open-pit,Ciel ouvert,Au,Au,Gold,Or,Precious metals,Métaux précieux,Wawa,Wawa,Ontario,Ontario,48.11028,-85.4525,ON-02BC-11,02BC,-85.4525,48.11028
188,Eagle River,Eagle River,Wesdome Gold Mines Ltd.,Mines d’or Wesdome Ltée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Wawa,Wawa,Ontario,Ontario,47.9861,-85.4619,NA,02BD,-85.4619,47.9861
189,Hemlo (Williams),Hemlo (Williams),Barrick Gold Corporation,Barrick Gold Corporation,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Marathon,Marathon,Ontario,Ontario,48.695726,-85.91598,ON-02BB-11,02BB,-85.91598,48.695726
190,Lac des Iles,Lac des Îles,Impala Canada Ltd.,Impala Canada Ltd.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","PGM, Au, Ni, Cu, Co","MGP, Au, Ni, Cu, Co","Platinum group metals, gold, nickel, copper, cobalt","Métaux du groupe platine, or, nickel, cuivre, cobalt",Precious metals,Métaux précieux,Thunder Bay,Thunder Bay,Ontario,Ontario,49.1691,-89.6105,ON-02AB-15,02AB,-89.6105,49.1691
191,Musselwhite,Musselwhite,Newmont Corporation,Newmont Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,north of Pickle Lake,au nord de Pickle Lake,Ontario,Ontario,52.6127,-90.3636,ON-04DAB04,04DA,-90.3636,52.6127
192,Red Lake,Red Lake,Evolution Mining Ltd.,Evolution Mining Ltd.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Balmertown,Balmertown,Ontario,Ontario,51.050557,-93.732922,ON-05QC-02,05QC,-93.732922,51.050557
193,PureGold,PureGold,Pure Gold Mining Inc.,Pure Gold Mining Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Red Lake,Red Lake,Ontario,Ontario,50.96932,-93.93847,ON-05QC-03,05QC,-93.93847,50.96932
194,Rainy River,Rainy River,New Gold Inc.,New Gold Inc.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Fort Frances,Fort Frances,Ontario,Ontario,48.833,-94.012,ON-05PCD04,05PC,-94.012,48.833
195,Santoy,Santoy,SSR Mining Inc.,SSR Mining Inc.,(U.),(Sout.),Underground,Souterraine,Au,Au,Gold,Or,Precious metals,Métaux précieux,Santoy Lake,Santoy Lake,Saskatchewan,Saskatchewan,55.66778,-103.414571,NA,06DD,-103.414571,55.66778
196,Seabee,Seabee,SSR Mining Inc.,SSR Mining Inc.,(C.),(Con.),Concentrator,Concentrateur,Au,Au,Gold,Or,Precious metals,Métaux précieux,Laonil Lake,Laonil Lake,Saskatchewan,Saskatchewan,55.683772,-103.622257,NA,06CD,-103.622257,55.683772
197,Brucejack,Brucejack,Newcrest Mining Ltd.,Newcrest Mining Ltd.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Stewart,Stewart,British Columbia,Colombie-Britannique,56.47554,-130.21783,BC_233,08DD,-130.21783,56.47554
198,Eagle (Dublin Gulch),Eagle (Dublin Gulch),Victoria Gold Corporation,Victoria Gold Corporation,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Mayo,Mayo,Yukon,Yukon,64.0322,-135.8456,NA,09DD,-135.8456,64.0322
199,Meliadine,Meliadine,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Rankin Inlet,Rankin Inlet,Nunavut,Nunavut,63.031529,-92.220206,NA,06NC,-92.220206,63.031529
200,Meadowbank,Meadowbank,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,(C.),(Con.),Concentrator,Concentrateur,Au,Au,Gold,Or,Precious metals,Métaux précieux,Baker Lake,Baker Lake,Nunavut,Nunavut,65.0199956,-96.071313,NA,06MB,-96.071313,65.0199956
201,Amaruq,Amaruq,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(P., U.)","(C.O., Sout.)","Open-pit, underground","Ciel ouvert, souterraine",Au,Au,Gold,Or,Precious metals,Métaux précieux,Baker Lake,Baker Lake,Nunavut,Nunavut,65.415,-96.697,NA,10RC,-96.697,65.415
202,Keno Hill Silver District,Keno Hill Silver District,Hecla Mining Company,Hecla Mining Company,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Ag, Zn, Pb","Ag, Zn, Pb","Silver, zinc, lead","Argent, zinc, plomb",Base metals and precious metals,Métaux communs et métaux précieux,Mayo,Mayo,Yukon,Yukon,63.9167,-135.4833,NA,09DD,-135.4833,63.9167
203,McClean Lake,McClean Lake,Orano Canada Inc.,Orano Canada Inc.,(C.),(Con.),Concentrator,Concentrateur,U,U,Uranium,Uranium,Uranium,Uranium,McClean Lake,McClean Lake,Saskatchewan,Saskatchewan,58.3472,-103.8361,NA,07LC,-103.8361,58.3472
204,Cigar Lake,Cigar Lake,Cameco Corporation,Cameco Corporation,(U.),(Sout.),Underground,Souterraine,U,U,Uranium,Uranium,Uranium,Uranium,Waterbury Lake,Waterbury Lake,Saskatchewan,Saskatchewan,58.06819,-104.54123,NA,07LB,-104.54123,58.06819
205,McArthur River,McArthur River,Cameco Corporation,Cameco Corporation,(U.),(Sout.),Underground,Souterraine,U,U,Uranium,Uranium,Uranium,Uranium,north of Key Lake,au nord de Key Lake,Saskatchewan,Saskatchewan,57.7637,-105.053,NA,07LB,-105.053,57.7637
206,Key Lake,Key Lake,Cameco Corporation,Cameco Corporation,(C.),(Con.),Concentrator,Concentrateur,U,U,Uranium,Uranium,Uranium,Uranium,north of Highrock Lake,au nord de Highrock Lake,Saskatchewan,Saskatchewan,57.207,-105.647,NA,06DA,-105.647,57.207
