En_Name,Bio_Zone_Code,PRV_WSHD_I,NHN_TWS_ID
Western Arctic,101,AB-18050304,NA
Western Arctic,101,AB-18050401,NA
Western Arctic,101,AB-18050402,NA
Western Arctic,101,AB-18050403,NA
Western Arctic,101,AB-18050404,NA
Western Arctic,101,AB-18050405,NA
Western Arctic,101,AB-18060101,NA
Western Arctic,101,AB-18060102,NA
Western Arctic,101,AB-18060201,NA
Western Arctic,101,AB-18060202,NA
Western Arctic,101,AB-18060203,NA
Western Arctic,101,AB-18060301,NA
Western Arctic,101,AB-18060302,NA
Western Arctic,101,AB-18060303,NA
Western Arctic,101,AB-18060401,NA
Western Arctic,101,AB-18060402,NA
Western Arctic,101,AB-18060403,NA
Western Arctic,101,AB-18060501,NA
Western Arctic,101,AB-18060502,NA
Western Arctic,101,AB-18060503,NA
Western Arctic,101,AB-18060504,NA
Western Arctic,101,AB-19010101,NA
Western Arctic,101,AB-19010102,NA
Western Arctic,101,AB-19010103,NA
Western Arctic,101,AB-19010104,NA
Western Arctic,101,AB-19010105,NA
Western Arctic,101,AB-19010106,NA
Western Arctic,101,AB-19010107,NA
Western Arctic,101,AB-19010108,NA
Western Arctic,101,AB-19010109,NA
Western Arctic,101,AB-19010201,NA
Western Arctic,101,AB-19010202,NA
Western Arctic,101,AB-19010203,NA
Western Arctic,101,AB-19010204,NA
Western Arctic,101,AB-19010205,NA
Western Arctic,101,AB-19010206,NA
Western Arctic,101,AB-19010207,NA
Western Arctic,101,AB-19010208,NA
Western Arctic,101,AB-19010301,NA
Western Arctic,101,AB-19010302,NA
Western Arctic,101,AB-19010303,NA
Western Arctic,101,AB-19010304,NA
Western Arctic,101,AB-19010305,NA
Western Arctic,101,AB-19010306,NA
Western Arctic,101,AB-19010307,NA
Western Arctic,101,AB-19010308,NA
Western Arctic,101,AB-19010309,NA
Western Arctic,101,AB-19010310,NA
Western Arctic,101,AB-19010311,NA
Western Arctic,101,AB-20010101,NA
Western Arctic,101,AB-20010102,NA
Western Arctic,101,AB-20010103,NA
Western Arctic,101,AB-20010104,NA
Western Arctic,101,AB-21010101,NA
Western Arctic,101,AB-21010102,NA
Western Arctic,101,AB-21010103,NA
Western Arctic,101,AB-21010201,NA
Western Arctic,101,AB-21010202,NA
Western Arctic,101,AB-22010101,NA
Western Arctic,101,AB-23010101,NA
Western Arctic,101,AB-23010102,NA
Western Arctic,101,AB-23010103,NA
Western Arctic,101,AB-23010104,NA
Western Arctic,101,AB-23010105,NA
Western Arctic,101,AB-23010106,NA
Western Arctic,101,AB-23010107,NA
Western Arctic,101,AB-23010108,NA
Western Arctic,101,AB-23010201,NA
Western Arctic,101,AB-23010301,NA
Western Arctic,101,AB-23010302,NA
Western Arctic,101,AB-24010101,NA
Western Arctic,101,AB-24010102,NA
Western Arctic,101,AB-24010103,NA
Western Arctic,101,AB-24010104,NA
Western Arctic,101,AB-24010105,NA
Western Arctic,101,AB-24010201,NA
Western Arctic,101,AB-24010202,NA
Western Arctic,101,AB-24010203,NA
Western Arctic,101,AB-25010101,NA
Western Arctic,101,AB-25010102,NA
Western Arctic,101,AB-25010301,NA
Pacific,81,BC_1,NA
Pacific,81,BC_10,NA
Pacific,81,BC_100,NA
Pacific,81,BC_101,NA
Pacific,81,BC_102,NA
Pacific,81,BC_103,NA
Western Arctic,101,BC_104,NA
Western Arctic,101,BC_105,NA
Western Arctic,101,BC_106,NA
Pacific,81,BC_107,NA
Pacific,81,BC_108,NA
Western Arctic,101,BC_109,NA
Pacific,81,BC_11,NA
Pacific,81,BC_110,NA
Western Arctic,101,BC_111,NA
Pacific,81,BC_112,NA
Pacific,81,BC_113,NA
Pacific,81,BC_114,NA
Pacific,81,BC_115,NA
Western Arctic,101,BC_116,NA
Western Arctic,101,BC_117,NA
Western Arctic,101,BC_118,NA
Western Arctic,101,BC_119,NA
Pacific,81,BC_12,NA
Western Arctic,101,BC_120,NA
Pacific,81,BC_121,NA
Pacific,81,BC_122,NA
Western Arctic,101,BC_123,NA
Pacific,81,BC_124,NA
Pacific,81,BC_125,NA
Pacific,81,BC_126,NA
Pacific,81,BC_127,NA
Pacific,81,BC_128,NA
Pacific,81,BC_129,NA
Western Arctic,101,BC_13,NA
Western Arctic,101,BC_130,NA
Pacific,81,BC_131,NA
Western Arctic,101,BC_132,NA
Pacific,81,BC_133,NA
Western Arctic,101,BC_134,NA
Pacific,81,BC_135,NA
Western Arctic,101,BC_136,NA
Western Arctic,101,BC_137,NA
Pacific Islands,82,BC_138,NA
Pacific,81,BC_139,NA
Pacific,81,BC_14,NA
Pacific,81,BC_140,NA
Western Arctic,101,BC_141,NA
Pacific,81,BC_142,NA
Pacific,81,BC_143,NA
Western Arctic,101,BC_144,NA
Pacific,81,BC_145,NA
Pacific,81,BC_146,NA
Pacific,81,BC_147,NA
Pacific,81,BC_148,NA
Pacific,81,BC_149,NA
Pacific,81,BC_15,NA
Pacific,81,BC_150,NA
Pacific,81,BC_151,NA
Western Arctic,101,BC_152,NA
Pacific,81,BC_153,NA
Pacific,81,BC_154,NA
Pacific,81,BC_155,NA
Pacific,81,BC_156,NA
Pacific Islands,82,BC_157,NA
Pacific,81,BC_158,NA
Pacific,81,BC_159,NA
Pacific,81,BC_16,NA
Pacific Islands,82,BC_160,NA
Pacific,81,BC_161,NA
Western Arctic,101,BC_162,NA
Pacific,81,BC_163,NA
Western Arctic,101,BC_164,NA
Pacific Islands,82,BC_165,NA
Western Arctic,101,BC_166,NA
Western Arctic,101,BC_167,NA
Western Arctic,101,BC_168,NA
Pacific,81,BC_169,NA
Pacific Islands,82,BC_17,NA
Pacific,81,BC_170,NA
Pacific,81,BC_171,NA
Pacific,81,BC_172,NA
Western Arctic,101,BC_173,NA
Western Arctic,101,BC_174,NA
Pacific,81,BC_175,NA
Pacific Islands,82,BC_176,NA
Pacific,81,BC_177,NA
Pacific Islands,82,BC_178,NA
Pacific,81,BC_179,NA
Pacific,81,BC_18,NA
Pacific,81,BC_180,NA
Western Arctic,101,BC_181,NA
Pacific,81,BC_182,NA
Pacific,81,BC_183,NA
Pacific,81,BC_184,NA
Pacific,81,BC_185,NA
Pacific,81,BC_186,NA
Pacific,81,BC_187,NA
Western Arctic,101,BC_188,NA
Pacific,81,BC_189,NA
Pacific,81,BC_19,NA
Pacific,81,BC_190,NA
Pacific,81,BC_191,NA
Pacific,81,BC_192,NA
